"","observacao_id","coord_x","coord_y","sharing","mailto"
"1","ÁguasFrias n°04@ctb0579",-52.87185732,-26.85786051,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23ocUdBSXBjc2syUmM"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=ÁguasFrias n°04@ctb0579"">Relatar problema</a>"
"2","ÁguasFrias n°03@ctb0579",-52.85636117,-26.85793851,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23ocUdBSXBjc2syUmM"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=ÁguasFrias n°03@ctb0579"">Relatar problema</a>"
"3","ÁguasFrias n°05@ctb0579",-52.873352,-26.85818369,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23ocUdBSXBjc2syUmM"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=ÁguasFrias n°05@ctb0579"">Relatar problema</a>"
"4","ÁguasFrias nº07@ctb0579",-52.87622991,-26.81483932,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23ocUdBSXBjc2syUmM"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=ÁguasFrias nº07@ctb0579"">Relatar problema</a>"
"5","ÁguasFrias nº09@ctb0579",-52.88568855,-26.81743941,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23ocUdBSXBjc2syUmM"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=ÁguasFrias nº09@ctb0579"">Relatar problema</a>"
"6","ÁguasFrias nº06@ctb0579",-52.87342327,-26.81055309,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23ocUdBSXBjc2syUmM"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=ÁguasFrias nº06@ctb0579"">Relatar problema</a>"
"7","ÁguasFrias n°01@ctb0579",-52.85343611,-26.85567529,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23ocUdBSXBjc2syUmM"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=ÁguasFrias n°01@ctb0579"">Relatar problema</a>"
"8","ÁguasFrias n°02@ctb0579",-52.85407004,-26.85628976,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23ocUdBSXBjc2syUmM"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=ÁguasFrias n°02@ctb0579"">Relatar problema</a>"
"9","ÁguasFrias nº22@ctb0579",-52.88068034,-26.84249872,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23ocUdBSXBjc2syUmM"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=ÁguasFrias nº22@ctb0579"">Relatar problema</a>"
"10","ÁguasFrias nº13@ctb0579",-52.85173491,-26.81296867,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23ocUdBSXBjc2syUmM"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=ÁguasFrias nº13@ctb0579"">Relatar problema</a>"
"11","ÁguasFrias nº14@ctb0579",-52.85341131,-26.80966127,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23ocUdBSXBjc2syUmM"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=ÁguasFrias nº14@ctb0579"">Relatar problema</a>"
"12","ÁguasFrias nº19@ctb0579",-52.89285013,-26.81859838,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23ocUdBSXBjc2syUmM"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=ÁguasFrias nº19@ctb0579"">Relatar problema</a>"
"13","ÁguasFrias nº17@ctb0579",-52.88811294,-26.80833607,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23ocUdBSXBjc2syUmM"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=ÁguasFrias nº17@ctb0579"">Relatar problema</a>"
"14","ÁguasFrias nº20@ctb0579",-52.87028963,-26.84024468,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23ocUdBSXBjc2syUmM"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=ÁguasFrias nº20@ctb0579"">Relatar problema</a>"
"15","ÁguasFrias nº18@ctb0579",-52.87747568,-26.79764648,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23ocUdBSXBjc2syUmM"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=ÁguasFrias nº18@ctb0579"">Relatar problema</a>"
"16","Águasfrias nº12@ctb0579",-52.86316694,-26.83846131,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23ocUdBSXBjc2syUmM"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=Águasfrias nº12@ctb0579"">Relatar problema</a>"
"17","ÁguasFrias nº15@ctb0579",-52.85257433,-26.81571964,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23ocUdBSXBjc2syUmM"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=ÁguasFrias nº15@ctb0579"">Relatar problema</a>"
