"","observacao_id","coord_x","coord_y","sharing","mailto"
"1","126@ctb0752",-60.2333,-7.6833,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oRDhqd2pFN3YtdnM"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=126@ctb0752"">Relatar problema</a>"
"2","54@ctb0752",-64.9,-6.8,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oRDhqd2pFN3YtdnM"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=54@ctb0752"">Relatar problema</a>"
"3","108@ctb0752",-60.98333333,-7.36666667,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oRDhqd2pFN3YtdnM"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=108@ctb0752"">Relatar problema</a>"
"4","6@ctb0752",-63.95,-4.58333333,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oRDhqd2pFN3YtdnM"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=6@ctb0752"">Relatar problema</a>"
"5","56@ctb0752",-64.01666667,-6.18333333,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oRDhqd2pFN3YtdnM"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=56@ctb0752"">Relatar problema</a>"
"6","124@ctb0752",-60.25,-7.16666667,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oRDhqd2pFN3YtdnM"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=124@ctb0752"">Relatar problema</a>"
"7","23@ctb0752",-61.2667,-4.7167,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oRDhqd2pFN3YtdnM"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=23@ctb0752"">Relatar problema</a>"
"8","52@ctb0752",-65.26666667,-6.56666667,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oRDhqd2pFN3YtdnM"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=52@ctb0752"">Relatar problema</a>"
"9","120@ctb0752",-60.45,-7.36666667,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oRDhqd2pFN3YtdnM"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=120@ctb0752"">Relatar problema</a>"
"10","93@ctb0752",-62.8667,-7.55,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oRDhqd2pFN3YtdnM"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=93@ctb0752"">Relatar problema</a>"
"11","84@ctb0752",-64.33333333,-7.95,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oRDhqd2pFN3YtdnM"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=84@ctb0752"">Relatar problema</a>"
"12","38@ctb0752",-62.6,-5.7,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oRDhqd2pFN3YtdnM"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=38@ctb0752"">Relatar problema</a>"
"13","49@ctb0752",-60.08333333,-5.86666667,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oRDhqd2pFN3YtdnM"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=49@ctb0752"">Relatar problema</a>"
"14","117@ctb0752",-60.61666667,-7.03333333,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oRDhqd2pFN3YtdnM"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=117@ctb0752"">Relatar problema</a>"
