"","observacao_id","coord_x","coord_y","sharing","mailto"
"1","Perfil 045@ctb0572",-51.25,-27.1,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oMFFWamQ2MUliaUE"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=Perfil 045@ctb0572"">Relatar problema</a>"
"2","Perfil 053@ctb0572",-49.73333333,-28.15,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oMFFWamQ2MUliaUE"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=Perfil 053@ctb0572"">Relatar problema</a>"
"3","Perfil 067@ctb0572",-53.65,-27.1,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oMFFWamQ2MUliaUE"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=Perfil 067@ctb0572"">Relatar problema</a>"
"4","Perfil 054@ctb0572",-50.58333333,-28.05,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oMFFWamQ2MUliaUE"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=Perfil 054@ctb0572"">Relatar problema</a>"
"5","Perfil 055@ctb0572",-50.35,-27.78333333,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oMFFWamQ2MUliaUE"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=Perfil 055@ctb0572"">Relatar problema</a>"
"6","Perfil 069@ctb0572",-52.83333333,-27.1,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oMFFWamQ2MUliaUE"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=Perfil 069@ctb0572"">Relatar problema</a>"
"7","Perfil 077@ctb0572",-50.95,-26.31666667,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oMFFWamQ2MUliaUE"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=Perfil 077@ctb0572"">Relatar problema</a>"
"8","Perfil 068@ctb0572",-53.5,-27.05,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oMFFWamQ2MUliaUE"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=Perfil 068@ctb0572"">Relatar problema</a>"
"9","Perfil 070@ctb0572",-52.7,-27.1,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oMFFWamQ2MUliaUE"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=Perfil 070@ctb0572"">Relatar problema</a>"
"10","Perfil 037@ctb0572",-48.8,-28.41666667,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oMFFWamQ2MUliaUE"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=Perfil 037@ctb0572"">Relatar problema</a>"
"11","Perfil 056@ctb0572",-50.45,-26.93333333,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oMFFWamQ2MUliaUE"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=Perfil 056@ctb0572"">Relatar problema</a>"
