"","observacao_id","coord_x","coord_y","sharing","mailto"
"1","1@ctb0794",-55.2827338487107,-30.7838161026935,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oVlUtc0hDT1J1NUk"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=1@ctb0794"">Relatar problema</a>"
"2","2@ctb0794",-55.4684597817297,-30.8069841895606,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oVlUtc0hDT1J1NUk"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=2@ctb0794"">Relatar problema</a>"
"3","3@ctb0794",-55.4690987397559,-30.801623683391,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oVlUtc0hDT1J1NUk"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=3@ctb0794"">Relatar problema</a>"
"4","4@ctb0794",-55.466172981745,-30.8180270458688,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oVlUtc0hDT1J1NUk"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=4@ctb0794"">Relatar problema</a>"
"5","5@ctb0794",-55.4153236596192,-30.8520316610243,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oVlUtc0hDT1J1NUk"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=5@ctb0794"">Relatar problema</a>"
"6","6@ctb0794",-55.2961494234556,-30.8673342005491,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oVlUtc0hDT1J1NUk"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=6@ctb0794"">Relatar problema</a>"
"7","7@ctb0794",-55.3793536156734,-30.8681050991155,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oVlUtc0hDT1J1NUk"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=7@ctb0794"">Relatar problema</a>"
"8","8@ctb0794",-55.2538373231539,-30.7933266530456,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oVlUtc0hDT1J1NUk"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=8@ctb0794"">Relatar problema</a>"
"9","9@ctb0794",-55.4725409016272,-30.9227559183799,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oVlUtc0hDT1J1NUk"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=9@ctb0794"">Relatar problema</a>"
"10","01-EXTRA@ctb0794",-55.3697640737805,-30.7975432262741,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oVlUtc0hDT1J1NUk"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=01-EXTRA@ctb0794"">Relatar problema</a>"
"11","02-EXTRA@ctb0794",-55.4044621403162,-30.8739383605472,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oVlUtc0hDT1J1NUk"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=02-EXTRA@ctb0794"">Relatar problema</a>"
