"","observacao_id","coord_x","coord_y","sharing","mailto"
"1","RS-(15-IGRA)@ctb0797",-51.785188,-30.936687,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23obGl0TDlSTWRnZEE"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=RS-(15-IGRA)@ctb0797"">Relatar problema</a>"
"2","RS-(IGRA-1)@ctb0797",-51.831111,-30.790278,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23obGl0TDlSTWRnZEE"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=RS-(IGRA-1)@ctb0797"">Relatar problema</a>"
"3","RS-1@ctb0797",-53.749444,-29.864722,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23obGl0TDlSTWRnZEE"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=RS-1@ctb0797"">Relatar problema</a>"
"4","RS-11@ctb0797",-54.136111,-31.554722,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23obGl0TDlSTWRnZEE"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=RS-11@ctb0797"">Relatar problema</a>"
"5","RS-110@ctb0797",-54.5667,-30.2667,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23obGl0TDlSTWRnZEE"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=RS-110@ctb0797"">Relatar problema</a>"
"6","RS-112@ctb0797",-53.614444,-30.661111,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23obGl0TDlSTWRnZEE"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=RS-112@ctb0797"">Relatar problema</a>"
"7","RS-113@ctb0797",-53.821667,-30.816667,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23obGl0TDlSTWRnZEE"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=RS-113@ctb0797"">Relatar problema</a>"
"8","RS-114@ctb0797",-53.271111,-30.673333,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23obGl0TDlSTWRnZEE"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=RS-114@ctb0797"">Relatar problema</a>"
"9","RS-117@ctb0797",-53.045,-30.247222,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23obGl0TDlSTWRnZEE"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=RS-117@ctb0797"">Relatar problema</a>"
"10","RS-118@ctb0797",-53.820133,-30.813751,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23obGl0TDlSTWRnZEE"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=RS-118@ctb0797"">Relatar problema</a>"
"11","RS-12@ctb0797",-54.200278,-31.253056,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23obGl0TDlSTWRnZEE"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=RS-12@ctb0797"">Relatar problema</a>"
"12","RS-120@ctb0797",-54.403611,-31.121111,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23obGl0TDlSTWRnZEE"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=RS-120@ctb0797"">Relatar problema</a>"
"13","RS-122@ctb0797",-54.173803,-31.259351,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23obGl0TDlSTWRnZEE"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=RS-122@ctb0797"">Relatar problema</a>"
"14","RS-124@ctb0797",-52.492222,-29.713333,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23obGl0TDlSTWRnZEE"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=RS-124@ctb0797"">Relatar problema</a>"
"15","RS-125@ctb0797",-52.766033,-29.668838,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23obGl0TDlSTWRnZEE"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=RS-125@ctb0797"">Relatar problema</a>"
"16","RS-128@ctb0797",-51.15,-29.654167,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23obGl0TDlSTWRnZEE"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=RS-128@ctb0797"">Relatar problema</a>"
